original parameter 0 offset=0 bytes=16
PASS n=1 bit-exact output and prefix/suffix guards
timing n=1 run=0 variant=0 mean_us=4.707040
timing n=1 run=0 variant=1 mean_us=4.742144
timing n=1 run=0 variant=2 mean_us=5.227520
timing n=1 run=1 variant=1 mean_us=4.870144
timing n=1 run=1 variant=2 mean_us=4.425888
timing n=1 run=1 variant=0 mean_us=4.588544
timing n=1 run=2 variant=2 mean_us=4.443136
timing n=1 run=2 variant=0 mean_us=4.647936
timing n=1 run=2 variant=1 mean_us=4.616192
timing n=1 run=3 variant=0 mean_us=4.776960
timing n=1 run=3 variant=1 mean_us=4.606976
timing n=1 run=3 variant=2 mean_us=4.397408
PASS n=3 bit-exact output and prefix/suffix guards
timing n=3 run=0 variant=0 mean_us=5.463040
timing n=3 run=0 variant=1 mean_us=4.593664
timing n=3 run=0 variant=2 mean_us=4.439040
timing n=3 run=1 variant=1 mean_us=4.914176
timing n=3 run=1 variant=2 mean_us=4.829952
timing n=3 run=1 variant=0 mean_us=4.592640
timing n=3 run=2 variant=2 mean_us=4.503552
timing n=3 run=2 variant=0 mean_us=4.611072
timing n=3 run=2 variant=1 mean_us=4.543488
timing n=3 run=3 variant=0 mean_us=4.450304
timing n=3 run=3 variant=1 mean_us=5.851136
timing n=3 run=3 variant=2 mean_us=4.361217
PASS n=4 bit-exact output and prefix/suffix guards
timing n=4 run=0 variant=0 mean_us=4.452352
timing n=4 run=0 variant=1 mean_us=5.087232
timing n=4 run=0 variant=2 mean_us=4.396352
timing n=4 run=1 variant=1 mean_us=4.834304
timing n=4 run=1 variant=2 mean_us=4.542464
timing n=4 run=1 variant=0 mean_us=4.718592
timing n=4 run=2 variant=2 mean_us=4.524960
timing n=4 run=2 variant=0 mean_us=4.887552
timing n=4 run=2 variant=1 mean_us=5.659680
timing n=4 run=3 variant=0 mean_us=4.861952
timing n=4 run=3 variant=1 mean_us=4.533248
timing n=4 run=3 variant=2 mean_us=4.360192
PASS n=31 bit-exact output and prefix/suffix guards
timing n=31 run=0 variant=0 mean_us=4.717408
timing n=31 run=0 variant=1 mean_us=5.029792
timing n=31 run=0 variant=2 mean_us=3.473056
timing n=31 run=1 variant=1 mean_us=5.416960
timing n=31 run=1 variant=2 mean_us=3.648768
timing n=31 run=1 variant=0 mean_us=5.308416
timing n=31 run=2 variant=2 mean_us=4.270080
timing n=31 run=2 variant=0 mean_us=4.570112
timing n=31 run=2 variant=1 mean_us=4.528128
timing n=31 run=3 variant=0 mean_us=4.543488
timing n=31 run=3 variant=1 mean_us=4.586496
timing n=31 run=3 variant=2 mean_us=4.412416
PASS n=32 bit-exact output and prefix/suffix guards
timing n=32 run=0 variant=0 mean_us=4.562944
timing n=32 run=0 variant=1 mean_us=4.477952
timing n=32 run=0 variant=2 mean_us=4.909056
timing n=32 run=1 variant=1 mean_us=4.615168
timing n=32 run=1 variant=2 mean_us=4.367360
timing n=32 run=1 variant=0 mean_us=4.620224
timing n=32 run=2 variant=2 mean_us=4.296704
timing n=32 run=2 variant=0 mean_us=4.636672
timing n=32 run=2 variant=1 mean_us=4.496384
