chain	kernel_count	start_tick	end_tick	frequency_hz	gpu_us	first	last
0	1	1788728173272773664	1788728173272779776	1000000000	6.112	cc_cb_clear	cc_cb_clear
1	1	1788728173272784896	1788728173275455488	1000000000	2670.59	cc_tinlayout_fused_pre_block_swin_1h_32_1_ds_fp8	cc_tinlayout_fused_pre_block_swin_1h_32_1_ds_fp8
2	1	1788728173275459584	1788728173276222464	1000000000	762.88	cc_tinlayout_fused_swin_1h_32_1_inpview_tilesync_fp8	cc_tinlayout_fused_swin_1h_32_1_inpview_tilesync_fp8
3	1	1788728173276227584	1788728173276964864	1000000000	737.28	cc_tinlayout_fused_swin_1h_32_1_chained_fp8	cc_tinlayout_fused_swin_1h_32_1_chained_fp8
4	1	1788728173276968960	1788728173277663232	1000000000	694.272	cc_tinlayout_fused_swin_1h_32_1_chained_fp8	cc_tinlayout_fused_swin_1h_32_1_chained_fp8
5	1	1788728173277668352	1788728173278497792	1000000000	829.44	cc_tinlayout_fused_swin_1h_32_1_ds_wait_fp8	cc_tinlayout_fused_swin_1h_32_1_ds_wait_fp8
6	1	1788728173278502912	1788728173279003648	1000000000	500.736	cc_tinlayout_fused_swin_2h_64_2_inpview_tilesync_fp8	cc_tinlayout_fused_swin_2h_64_2_inpview_tilesync_fp8
7	1	1788728173279007744	1788728173279531008	1000000000	523.264	cc_tinlayout_fused_swin_2h_64_2_chained_fp8	cc_tinlayout_fused_swin_2h_64_2_chained_fp8
8	1	1788728173279536128	1788728173280024576	1000000000	488.448	cc_tinlayout_fused_swin_2h_64_2_chained_fp8	cc_tinlayout_fused_swin_2h_64_2_chained_fp8
9	1	1788728173280028672	1788728173280550912	1000000000	522.24	cc_tinlayout_fused_swin_2h_64_2_ds_wait_fp8	cc_tinlayout_fused_swin_2h_64_2_ds_wait_fp8
10	1	1788728173280556032	1788728173280877568	1000000000	321.536	cc_tinlayout_fused_swin_4h_128_4_inpview_tilesync_fp8	cc_tinlayout_fused_swin_4h_128_4_inpview_tilesync_fp8
11	1	1788728173280882688	1788728173281207296	1000000000	324.608	cc_tinlayout_fused_swin_4h_128_4_chained_fp8	cc_tinlayout_fused_swin_4h_128_4_chained_fp8
12	1	1788728173281211392	1788728173281528832	1000000000	317.44	cc_tinlayout_fused_swin_4h_128_4_chained_fp8	cc_tinlayout_fused_swin_4h_128_4_chained_fp8
13	1	1788728173281532928	1788728173281854464	1000000000	321.536	cc_tinlayout_fused_swin_4h_128_4_chained_fp8	cc_tinlayout_fused_swin_4h_128_4_chained_fp8
14	1	1788728173281858560	1788728173282174976	1000000000	316.416	cc_tinlayout_fused_swin_4h_128_4_chained_fp8	cc_tinlayout_fused_swin_4h_128_4_chained_fp8
15	1	1788728173282180096	1788728173282534400	1000000000	354.304	cc_tinlayout_fused_swin_4h_128_4_ds_wait_fp8	cc_tinlayout_fused_swin_4h_128_4_ds_wait_fp8
16	1	1788728173282539520	1788728173282861056	1000000000	321.536	cc_tinlayout_fused_swin_8h_256_8_inpview_tilesync_fp8	cc_tinlayout_fused_swin_8h_256_8_inpview_tilesync_fp8
17	1	1788728173282866176	1788728173283261440	1000000000	395.264	cc_tinlayout_fused_swin_8h_256_8_chained_fp8	cc_tinlayout_fused_swin_8h_256_8_chained_fp8
