cc_cb_clear	grid=577,1,1	block=256,1,1	shared=0	bytes=16	params=000000e0020000000041020000000000
cc_tinlayout_fused_pre_block_swin_1h_32_1_ds_fp8	grid=320,184,1	block=32,1,1	shared=0	bytes=264	params=0188a07f0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020450000b444cdcccc39610b363acdcccc39610b363a010000000000803f0000803f000000000000803f0000803f010000000000803d0000000000000000a0050000000a0000000409e00200000000006008000000000000000000000000c0050000000a0000000439e702000000e002000000050000
cc_tinlayout_fused_swin_1h_32_1_inpview_tilesync_fp8	grid=160,92,1	block=32,1,1	shared=0	bytes=96	params=000439e702000000000405e9020000000056600800000000e002000000050000000000000000000000000000000000000000000000000000000000e0020000000000000000000000000000000000000000000000000000000000000000000000
cc_tinlayout_fused_swin_1h_32_1_chained_fp8	grid=161,93,1	block=32,1,1	shared=0	bytes=96	params=000405e9020000000004d1ea0200000000daa40800000000e002000000050000fcfffffffcffffff000000e002000000000000000000000000e600e0020000000000000000000000000000000000000000000000000000000000000000000000
cc_tinlayout_fused_swin_1h_32_1_ds_wait_fp8	grid=160,93,1	block=32,1,1	shared=0	bytes=96	params=00049dec02000000000469ee020000000016c80f00000000e00200000005000000000000fcffffff00d001e002000000fcffffff000000000000000000000000000435f002000000700100008002000000000000000000000000000000000000
cc_tinlayout_fused_swin_2h_64_2_inpview_tilesync_fp8	grid=80,46,1	block=32,2,1	shared=0	bytes=88	params=000435f002000000000439e70200000000cecf10000000000000000000000000700100008002000000000000000000000000000000000000000000000000000000b802e00200000000000000000000000000000000000000
cc_tinlayout_fused_swin_2h_64_2_chained_fp8	grid=81,47,1	block=32,2,1	shared=0	bytes=88	params=000439e70200000000041fe80200000000741c110000000000000000000000007001000080020000fcfffffffcffffff00b802e002000000000000000000000000f202e00200000000000000000000000000000000000000
cc_tinlayout_fused_swin_2h_64_2_ds_wait_fp8	grid=80,47,1	block=32,2,1	shared=0	bytes=88	params=000405e9020000000004ebe90200000000f02911000000000000000000000000700100008002000000000000fcffffff002e03e002000000fcffffff0000000000000000000000000004d1ea02000000b800000040010000
cc_tinlayout_fused_swin_4h_128_4_inpview_tilesync_fp8	grid=40,23,1	block=32,4,1	shared=0	bytes=88	params=0004d1ea02000000000439e70200000000022b11000000000000000000000000b800000040010000000000000000000000000000000000000000000000000000006a03e00200000000000000000000000000000000000000
cc_tinlayout_fused_swin_4h_128_4_chained_fp8	grid=41,24,1	block=32,4,1	shared=0	bytes=88	params=000439e7020000000004ace70200000000a86008000000000000000000000000b800000040010000fcfffffffcffffff006a03e0020000000000000000000000007a03e00200000000000000000000000000000000000000
cc_tinlayout_fused_swin_4h_128_4_ds_wait_fp8	grid=41,24,1	block=32,4,1	shared=0	bytes=88	params=000405e902000000000478e90200000000b86c08000000000000000000000000b800000040010000fcfffffffcffffff00aa03e00200000000000000000000000000000000000000000444eb020000005c000000a0000000
cc_tinlayout_fused_swin_8h_256_8_inpview_tilesync_fp8	grid=20,12,1	block=32,8,1	shared=0	bytes=88	params=000444eb02000000000439e702000000003c70080000000000000000000000005c000000a000000000000000000000000000000000000000000000000000000000ba03e00200000000000000000000000000000000000000
cc_tinlayout_fused_swin_8h_256_8_chained_fp8	grid=21,12,1	block=32,8,1	shared=0	bytes=88	params=000439e702000000008472e70200000000c27a080000000000000000000000005c000000a0000000fcfffffffcffffff00ba03e002000000000000000000000000be03e00200000000000000000000000000000000000000
cc_tinlayout_fused_swin_8h_256_8_ds_wait_fp8	grid=20,12,1	block=32,8,1	shared=0	bytes=88	params=000492e802000000000465ed020000000038ba080000000000000000000000005c000000a000000000000000fcffffff00d203e002000000fcffffff0000000000000000000000000084cbe8020000003000000050000000
cc_split_swin_16h_ffwd_inpview_512_tilesync_fp8	grid=10,6,2	block=32,4,1	shared=0	bytes=56	params=0084cbe802000000000439e70200000000bec6080000000030000000500000000000000000000000000000000000000000d603e002000000
cc_split_swin_16h_ffwd_proj_inpview_512_chained_fp8	grid=20,6,1	block=32,4,1	shared=0	bytes=72	params=000439e7020000000084cbe802000000000457e70200000000bece08000000003000000050000000000000000000000000d803e00200000000d603e0020000000000000000000000
cc_split_swin_16h_qkv_512_chained_fp8	grid=10,6,4	block=32,4,1	shared=0	bytes=56	params=000457e702000000000475e70200000000c2d208000000003000000050000000000000000000000000d803e00200000000da03e002000000
cc_split_swin_16h_proj_512_chained_fp8	grid=20,6,1	block=32,8,1	shared=0	bytes=72	params=000475e702000000000457e702000000000493e70200000000c4e008000000003000000050000000000000000000000000de03e00200000000da03e0020000000000000000000000
cc_split_swin_16h_ffwd_512_chained_fp8	grid=10,6,2	block=32,8,1	shared=0	bytes=56	params=000493e7020000000004b1e70200000000c8e40800000000300000005000000000de03e002000000000000000000000000e003e002000000
cc_split_swin_16h_ffwd_proj_512_chained_fp8	grid=20,6,1	block=32,4,1	shared=0	bytes=72	params=0004b1e702000000000493e7020000000004cfe70200000000c8ec08000000003000000050000000000000000000000000e203e00200000000e003e0020000000000000000000000
cc_split_swin_16h_proj_pool_512_chained_fp8	grid=20,6,1	block=32,4,1	shared=0	bytes=80	params=000457ec02000000000439ec0200000000849eed020000000004bfe802000000005cb30900000000002a04e002000000003004e00200000000000000fcffffff30000000500000001800000028000000
cc_split_swin_16h_final_head_512_wait_fp8	grid=20,3,1	block=32,8,1	shared=0	bytes=40	params=0004bfe802000000008452ee020000000060b70900000000003004e0020000001800000028000000
cc_vit_1d_repack_2d_to_1d_fp8	grid=960,1,1	block=256,1,1	shared=0	bytes=24	params=008452ee02000000000461f1020000001800000028000000
cc_vit_1d_ffn_expand_publish_fp8	grid=256,1,1	block=32,4,1	shared=0	bytes=72	params=000461f1020000000000000000000000000485eb020000000062bf0900000000000000000000000000000000000000000000000000000000003204e0020000001800000028000000
cc_vit_1d_ffn_contract_chained_fp8	grid=64,1,4	block=32,4,1	shared=0	bytes=72	params=000485eb02000000000461f10200000000047ff1020000000064ff0900000000003604e002000000000425f102000000003204e002000000003804e0020000001800000028000000
cc_vit_1d_qkv_chained_fp8	grid=128,1,2	block=32,4,1	shared=0	bytes=80	params=00047ff10200000000048ef1020000000004acf10200000000049df102000000006c3f0a00000000003a04e0020000000004ede702000000003804e002000000003c04e0020000001800000028000000
cc_vit_1d_attention_chained_fp8	grid=32,4,1	block=32,4,1	shared=0	bytes=64	params=00048ef1020000000004acf10200000000049df1020000000004bbf102000000006e6f0a00000000003c04e002000000003e04e0020000001800000028000000
cc_vit_1d_projection_chained_fp8	grid=64,1,4	block=32,4,1	shared=0	bytes=72	params=0004bbf10200000000047ff1020000000004caf10200000000706f0a00000000004204e0020000000084daed02000000003e04e002000000004404e0020000001800000028000000
cc_vit_1d_ffn_expand_chained_fp8	grid=256,1,1	block=32,4,1	shared=0	bytes=72	params=0004caf10200000000000000000000000004c1eb0200000000787f0a0000000000000000000000000000000000000000004404e002000000004604e0020000001800000028000000
cc_vit_1d_projection_wait_fp8	grid=64,1,4	block=32,4,1	shared=0	bytes=72	params=000431f4020000000004f5f302000000000470f102000000000ab00f0000000000ce04e002000000000443f10200000000ca04e00200000000000000000000001800000028000000
cc_vit_1d_repack_1d_to_2d_fp8	grid=960,1,1	block=256,1,1	shared=0	bytes=24	params=000470f102000000000440f4020000001800000028000000
cc_dec_input_upsample_1024_512_tilesync_fp8	grid=20,6,4	block=32,2,1	shared=0	bytes=80	params=000440f40200000000849eed02000000000439e702000000000475ec0200000000d004e00200000000d204e002000000000484ec020000000012c00f0000000018000000280000003000000050000000
cc_split_swin_16h_proj_512_outview_wait_fp8	grid=20,6,1	block=32,4,1	shared=0	bytes=72	params=000439ec0200000000041bec02000000000457ec0200000000bcb41000000000300000005000000000000000000000000000000000000000002805e00200000000000000fcffffff
cc_tinlayout_fused_swin_8h_256_8_upsample_tilesync_fp8	grid=20,12,1	block=32,8,1	shared=0	bytes=88	params=000457ec02000000000439e70200000000c0b81000000000000465ed020000005c000000a0000000000000000000000000000000000000000000000000000000002e05e00200000000000000000000000000000000000000
cc_tinlayout_fused_swin_8h_256_8_outview_wait_fp8	grid=20,12,1	block=32,8,1	shared=0	bytes=88	params=000492e802000000000444eb02000000005e05110000000000000000000000005c000000a000000000000000fcffffff004605e002000000fcffffff00000000000000000000000000000000000000000000000000000000
cc_tinlayout_fused_swin_4h_128_4_upsample_tilesync_fp8	grid=41,23,1	block=32,4,1	shared=0	bytes=88	params=000444eb02000000000439e70200000000e40f1100000000000478e902000000b800000040010000fcffffff0000000000000000000000000000000000000000004a05e00200000000000000000000000000000000000000
cc_tinlayout_fused_swin_4h_128_4_outview_wait_fp8	grid=40,24,1	block=32,4,1	shared=0	bytes=88	params=000405e9020000000004d1ea02000000006a2011000000000000000000000000b80000004001000000000000fcffffff008a05e002000000fcffffff00000000000000000000000000000000000000000000000000000000
cc_tinlayout_fused_swin_2h_64_2_upsample_tilesync_fp8	grid=80,46,1	block=32,2,1	shared=0	bytes=88	params=0004d1ea02000000000439e702000000006e2311000000000004ebe9020000007001000080020000000000000000000000000000000000000000000000000000009a05e00200000000000000000000000000000000000000
cc_tinlayout_fused_swin_2h_64_2_outview_wait_fp8	grid=80,47,1	block=32,2,1	shared=0	bytes=88	params=000405e902000000000435f00200000000642611000000000000000000000000700100008002000000000000fcffffff001006e002000000fcffffff00000000000000000000000000000000000000000000000000000000
cc_tinlayout_fused_swin_1h_32_1_upsample_tilesync_fp8	grid=160,92,1	block=32,1,1	shared=0	bytes=96	params=000435f002000000000439e7020000000056271100000000e002000000050000000000000000000000000000000000000000000000000000004c06e00200000000000000000000000000000000000000000469ee02000000e002000000050000
cc_tinlayout_fused_swin_1h_32_1_outview_wait_fp8	grid=160,93,1	block=32,1,1	shared=0	bytes=96	params=0004d1ea0200000000049dec020000000054281100000000e00200000005000000000000fcffffff001c08e002000000fcffffff000000000000000000000000000000000000000000000000000000000000000000000000e002000000050000
cc_tinlayout_fused_post_block_swin_1h_32_fp8	grid=321,185,1	block=32,1,1	shared=0	bytes=184	params=00049dec02000000000409e0020000000288000000000000009a291100000000c0050000000a0000fcfffffffcffffff0000003d010000000188a07f000000000000000000000000000020450000b444cdcccc39610b363a00000000000000000000000000000000009829110000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000cdcccc39610b363a000a0000a005000000000000
cg2r_copy_kernel	grid=160,90,1	block=16,16,1	shared=0	bytes=72	params=0388a07f0000000004880000000000000000000000000000000020450000b444cdcccc39610b363a0000000000000000000020450000b444cdcccc39610b363a000a0000a0050000
