frame	order	event	count_or_flags
0	0	model_barrier	1
0	1	uav	0
0	2	chain	1
0	3	model_barrier	1
0	4	uav	0
0	5	chain	1
0	6	model_barrier	1
0	7	uav	0
0	8	chain	1
0	9	chain	1
0	10	chain	1
0	11	chain	1
0	12	model_barrier	1
0	13	uav	0
0	14	chain	1
0	15	chain	1
0	16	chain	1
0	17	chain	1
0	18	model_barrier	1
0	19	uav	0
0	20	chain	1
0	21	chain	1
0	22	chain	1
0	23	chain	1
0	24	chain	1
0	25	chain	1
0	26	model_barrier	1
0	27	uav	0
0	28	chain	1
0	29	chain	1
0	30	chain	1
0	31	chain	1
0	32	chain	1
0	33	chain	1
0	34	chain	1
0	35	chain	1
0	36	model_barrier	1
0	37	uav	0
0	38	chain	1
0	39	chain	1
0	40	chain	1
0	41	chain	1
0	42	chain	1
0	43	chain	1
0	44	chain	1
0	45	chain	1
0	46	chain	1
0	47	chain	1
0	48	chain	1
0	49	chain	1
0	50	chain	1
0	51	chain	1
0	52	chain	1
0	53	chain	1
0	54	chain	1
0	55	chain	1
0	56	chain	1
0	57	chain	1
0	58	chain	1
0	59	chain	1
0	60	chain	1
0	61	chain	1
0	62	chain	1
0	63	chain	1
0	64	chain	1
0	65	chain	1
0	66	chain	1
0	67	chain	1
0	68	chain	1
0	69	chain	1
0	70	chain	1
0	71	model_barrier	1
0	72	uav	0
0	73	chain	1
0	74	model_barrier	1
0	75	uav	0
0	76	chain	1
0	77	chain	1
0	78	chain	1
0	79	chain	1
0	80	chain	1
0	81	chain	1
0	82	chain	1
0	83	chain	1
0	84	chain	1
0	85	chain	1
0	86	chain	1
0	87	chain	1
0	88	chain	1
0	89	chain	1
0	90	chain	1
0	91	chain	1
0	92	chain	1
0	93	chain	1
0	94	chain	1
0	95	chain	1
0	96	chain	1
0	97	chain	1
0	98	chain	1
0	99	chain	1
0	100	chain	1
0	101	chain	1
0	102	chain	1
0	103	chain	1
0	104	chain	1
0	105	chain	1
0	106	chain	1
0	107	chain	1
0	108	chain	1
0	109	chain	1
0	110	chain	1
0	111	chain	1
0	112	chain	1
0	113	chain	1
0	114	chain	1
0	115	chain	1
0	116	model_barrier	1
0	117	uav	0
0	118	chain	1
0	119	model_barrier	1
0	120	uav	0
0	121	chain	1
0	122	chain	1
0	123	chain	1
0	124	chain	1
0	125	chain	1
0	126	chain	1
0	127	chain	1
0	128	chain	1
0	129	chain	1
0	130	chain	1
0	131	chain	1
0	132	chain	1
0	133	chain	1
0	134	chain	1
0	135	chain	1
0	136	chain	1
0	137	chain	1
0	138	chain	1
0	139	chain	1
0	140	chain	1
0	141	chain	1
0	142	chain	1
0	143	chain	1
0	144	chain	1
0	145	chain	1
0	146	chain	1
0	147	chain	1
0	148	chain	1
0	149	chain	1
0	150	chain	1
0	151	chain	1
0	152	chain	1
0	153	chain	1
0	154	model_barrier	1
0	155	uav	0
0	156	chain	1
0	157	chain	1
0	158	chain	1
0	159	chain	1
0	160	chain	1
0	161	chain	1
0	162	chain	1
0	163	chain	1
0	164	model_barrier	1
0	165	uav	0
0	166	chain	1
0	167	chain	1
0	168	chain	1
0	169	chain	1
0	170	chain	1
0	171	chain	1
0	172	model_barrier	1
0	173	uav	0
0	174	chain	1
0	175	chain	1
0	176	chain	1
0	177	chain	1
0	178	model_barrier	1
0	179	uav	0
0	180	chain	1
0	181	chain	1
0	182	chain	1
0	183	chain	1
0	184	model_barrier	1
0	185	uav	0
0	186	chain	1
0	187	model_barrier	1
0	188	uav	0
0	189	chain	1
0	190	model_barrier	1
0	191	uav	0
1	0	model_barrier	1
1	1	uav	0
1	2	chain	1
1	3	model_barrier	1
1	4	uav	0
1	5	chain	1
1	6	model_barrier	1
1	7	uav	0
1	8	chain	1
1	9	chain	1
1	10	chain	1
1	11	chain	1
1	12	model_barrier	1
1	13	uav	0
1	14	chain	1
1	15	chain	1
1	16	chain	1
1	17	chain	1
1	18	model_barrier	1
1	19	uav	0
1	20	chain	1
1	21	chain	1
1	22	chain	1
1	23	chain	1
1	24	chain	1
1	25	chain	1
1	26	model_barrier	1
1	27	uav	0
1	28	chain	1
1	29	chain	1
1	30	chain	1
1	31	chain	1
1	32	chain	1
1	33	chain	1
1	34	chain	1
1	35	chain	1
1	36	model_barrier	1
1	37	uav	0
1	38	chain	1
1	39	chain	1
1	40	chain	1
1	41	chain	1
1	42	chain	1
1	43	chain	1
1	44	chain	1
1	45	chain	1
1	46	chain	1
1	47	chain	1
1	48	chain	1
1	49	chain	1
1	50	chain	1
1	51	chain	1
1	52	chain	1
1	53	chain	1
1	54	chain	1
1	55	chain	1
1	56	chain	1
1	57	chain	1
1	58	chain	1
1	59	chain	1
1	60	chain	1
1	61	chain	1
1	62	chain	1
1	63	chain	1
1	64	chain	1
1	65	chain	1
1	66	chain	1
1	67	chain	1
1	68	chain	1
1	69	chain	1
1	70	chain	1
1	71	model_barrier	1
1	72	uav	0
1	73	chain	1
1	74	model_barrier	1
1	75	uav	0
1	76	chain	1
1	77	chain	1
1	78	chain	1
1	79	chain	1
1	80	chain	1
1	81	chain	1
1	82	chain	1
1	83	chain	1
1	84	chain	1
1	85	chain	1
1	86	chain	1
1	87	chain	1
1	88	chain	1
1	89	chain	1
1	90	chain	1
1	91	chain	1
1	92	chain	1
1	93	chain	1
1	94	chain	1
1	95	chain	1
1	96	chain	1
1	97	chain	1
1	98	chain	1
1	99	chain	1
1	100	chain	1
1	101	chain	1
1	102	chain	1
1	103	chain	1
1	104	chain	1
1	105	chain	1
1	106	chain	1
1	107	chain	1
1	108	chain	1
1	109	chain	1
1	110	chain	1
1	111	chain	1
1	112	chain	1
1	113	chain	1
1	114	chain	1
1	115	chain	1
1	116	model_barrier	1
1	117	uav	0
1	118	chain	1
1	119	model_barrier	1
1	120	uav	0
1	121	chain	1
1	122	chain	1
1	123	chain	1
1	124	chain	1
1	125	chain	1
1	126	chain	1
1	127	chain	1
1	128	chain	1
1	129	chain	1
1	130	chain	1
1	131	chain	1
1	132	chain	1
1	133	chain	1
1	134	chain	1
1	135	chain	1
1	136	chain	1
1	137	chain	1
1	138	chain	1
1	139	chain	1
1	140	chain	1
1	141	chain	1
1	142	chain	1
1	143	chain	1
1	144	chain	1
1	145	chain	1
1	146	chain	1
1	147	chain	1
1	148	chain	1
1	149	chain	1
1	150	chain	1
1	151	chain	1
1	152	chain	1
1	153	chain	1
1	154	model_barrier	1
1	155	uav	0
1	156	chain	1
1	157	chain	1
1	158	chain	1
1	159	chain	1
1	160	chain	1
1	161	chain	1
1	162	chain	1
1	163	chain	1
1	164	model_barrier	1
1	165	uav	0
1	166	chain	1
1	167	chain	1
1	168	chain	1
1	169	chain	1
1	170	chain	1
1	171	chain	1
1	172	model_barrier	1
1	173	uav	0
1	174	chain	1
1	175	chain	1
1	176	chain	1
1	177	chain	1
1	178	model_barrier	1
1	179	uav	0
1	180	chain	1
1	181	chain	1
1	182	chain	1
1	183	chain	1
1	184	model_barrier	1
1	185	uav	0
1	186	chain	1
1	187	model_barrier	1
1	188	uav	0
1	189	chain	1
1	190	model_barrier	1
1	191	uav	0
2	0	model_barrier	1
2	1	uav	0
2	2	chain	1
2	3	model_barrier	1
2	4	uav	0
2	5	chain	1
2	6	model_barrier	1
2	7	uav	0
2	8	chain	1
2	9	chain	1
2	10	chain	1
2	11	chain	1
2	12	model_barrier	1
2	13	uav	0
2	14	chain	1
2	15	chain	1
2	16	chain	1
2	17	chain	1
2	18	model_barrier	1
2	19	uav	0
2	20	chain	1
2	21	chain	1
2	22	chain	1
2	23	chain	1
2	24	chain	1
2	25	chain	1
2	26	model_barrier	1
2	27	uav	0
2	28	chain	1
2	29	chain	1
2	30	chain	1
2	31	chain	1
2	32	chain	1
2	33	chain	1
2	34	chain	1
2	35	chain	1
2	36	model_barrier	1
2	37	uav	0
2	38	chain	1
2	39	chain	1
2	40	chain	1
2	41	chain	1
2	42	chain	1
2	43	chain	1
2	44	chain	1
2	45	chain	1
2	46	chain	1
2	47	chain	1
2	48	chain	1
2	49	chain	1
2	50	chain	1
2	51	chain	1
2	52	chain	1
2	53	chain	1
2	54	chain	1
2	55	chain	1
2	56	chain	1
2	57	chain	1
2	58	chain	1
2	59	chain	1
2	60	chain	1
2	61	chain	1
2	62	chain	1
2	63	chain	1
2	64	chain	1
2	65	chain	1
2	66	chain	1
2	67	chain	1
2	68	chain	1
2	69	chain	1
2	70	chain	1
2	71	model_barrier	1
2	72	uav	0
2	73	chain	1
2	74	model_barrier	1
2	75	uav	0
2	76	chain	1
2	77	chain	1
2	78	chain	1
2	79	chain	1
2	80	chain	1
2	81	chain	1
2	82	chain	1
2	83	chain	1
2	84	chain	1
2	85	chain	1
2	86	chain	1
2	87	chain	1
2	88	chain	1
2	89	chain	1
2	90	chain	1
2	91	chain	1
2	92	chain	1
2	93	chain	1
2	94	chain	1
2	95	chain	1
2	96	chain	1
2	97	chain	1
2	98	chain	1
2	99	chain	1
2	100	chain	1
2	101	chain	1
2	102	chain	1
2	103	chain	1
2	104	chain	1
2	105	chain	1
2	106	chain	1
2	107	chain	1
2	108	chain	1
2	109	chain	1
2	110	chain	1
2	111	chain	1
2	112	chain	1
2	113	chain	1
2	114	chain	1
2	115	chain	1
2	116	model_barrier	1
2	117	uav	0
2	118	chain	1
2	119	model_barrier	1
2	120	uav	0
2	121	chain	1
2	122	chain	1
2	123	chain	1
2	124	chain	1
2	125	chain	1
2	126	chain	1
2	127	chain	1
2	128	chain	1
2	129	chain	1
2	130	chain	1
2	131	chain	1
2	132	chain	1
2	133	chain	1
2	134	chain	1
2	135	chain	1
2	136	chain	1
2	137	chain	1
2	138	chain	1
2	139	chain	1
2	140	chain	1
2	141	chain	1
2	142	chain	1
2	143	chain	1
2	144	chain	1
2	145	chain	1
2	146	chain	1
2	147	chain	1
2	148	chain	1
2	149	chain	1
2	150	chain	1
2	151	chain	1
2	152	chain	1
2	153	chain	1
2	154	model_barrier	1
2	155	uav	0
2	156	chain	1
2	157	chain	1
