chain	kernel_count	start_tick	end_tick	frequency_hz	gpu_us	first	last
0	1	1788731933095368480	1788731933143007232	1000000000	47638.8	model	model
1	1	1788731933347434496	1788731933391011840	1000000000	43577.3	model	model
2	1	1788731933596693504	1788731933645201408	1000000000	48507.9	model	model
3	1	1788731933852119040	1788731933896019968	1000000000	43900.9	model	model
4	1	1788731934098817024	1788731934150322176	1000000000	51505.2	model	model
5	1	1788731934358879232	1788731934402855936	1000000000	43976.7	model	model
6	1	1788731934610616320	1788731934654765056	1000000000	44148.7	model	model
7	1	1788731934862376960	1788731934910678016	1000000000	48301.1	model	model
8	1	1788731935113630720	1788731935158402048	1000000000	44771.3	model	model
9	1	1788731935362356224	1788731935413022720	1000000000	50666.5	model	model
