chain	kernel_count	start_tick	end_tick	frequency_hz	gpu_us	first	last
0	1	1788731995769620640	1788731995817423872	1000000000	47803.2	model	model
1	1	1788731996045737984	1788731996097841152	1000000000	52103.2	model	model
2	1	1788731996315205632	1788731996367811584	1000000000	52606	model	model
3	1	1788731996585532416	1788731996632441856	1000000000	46909.4	model	model
4	1	1788731996850091008	1788731996899465216	1000000000	49374.2	model	model
5	1	1788731997171325952	1788731997223840768	1000000000	52514.8	model	model
6	1	1788731997442876416	1788731997498329088	1000000000	55452.7	model	model
7	1	1788731997718025216	1788731997765468160	1000000000	47442.9	model	model
8	1	1788731997983320064	1788731998033309696	1000000000	49989.6	model	model
9	1	1788731998250943488	1788731998298705920	1000000000	47762.4	model	model
