chain	kernel_count	start_tick	end_tick	frequency_hz	gpu_us	first	last
0	1	1788731943508595808	1788731943560289280	1000000000	51693.5	model	model
1	1	1788731943764953088	1788731943819316224	1000000000	54363.1	model	model
2	1	1788731944025816064	1788731944074723328	1000000000	48907.3	model	model
3	1	1788731944283243520	1788731944329900032	1000000000	46656.5	model	model
4	1	1788731944532542464	1788731944587213824	1000000000	54671.4	model	model
5	1	1788731944790496256	1788731944836797440	1000000000	46301.2	model	model
6	1	1788731945044295680	1788731945090913280	1000000000	46617.6	model	model
7	1	1788731945293403136	1788731945342644224	1000000000	49241.1	model	model
8	1	1788731945546488832	1788731945593338880	1000000000	46850	model	model
9	1	1788731945801982976	1788731945857433600	1000000000	55450.6	model	model
