chain	kernel_count	start_tick	end_tick	frequency_hz	gpu_us	first	last
0	1	1788731936520514528	1788731936567046144	1000000000	46531.6	model	model
1	1	1788731936777940992	1788731936826062848	1000000000	48121.9	model	model
2	1	1788731937034237952	1788731937091430400	1000000000	57192.4	model	model
3	1	1788731937291787264	1788731937338919936	1000000000	47132.7	model	model
4	1	1788731937544055808	1788731937590862848	1000000000	46807	model	model
5	1	1788731937793286144	1788731937842862080	1000000000	49575.9	model	model
6	1	1788731938043377664	1788731938089847808	1000000000	46470.1	model	model
7	1	1788731938298657792	1788731938354868224	1000000000	56210.4	model	model
8	1	1788731938559919104	1788731938609635328	1000000000	49716.2	model	model
9	1	1788731938817503232	1788731938863955968	1000000000	46452.7	model	model
