frame	event	value	status_or_groups
0	d3d	SetDescriptorHeaps	0
0	d3d	SetDescriptorHeaps	0
0	d3d	ResourceBarrier	0
0	group	1	0
0	d3d	ResourceBarrier	0
0	group	1	0
0	d3d	ResourceBarrier	0
0	group	4	0
0	d3d	ResourceBarrier	0
0	group	4	0
0	d3d	ResourceBarrier	0
0	group	4	0
0	group	2	0
0	d3d	ResourceBarrier	0
0	group	4	0
0	group	4	0
0	d3d	ResourceBarrier	0
0	group	4	0
0	group	4	0
0	group	4	0
0	group	4	0
0	group	4	0
0	group	4	0
0	group	4	0
0	group	4	0
0	group	1	0
0	d3d	ResourceBarrier	0
0	group	1	0
0	d3d	ResourceBarrier	0
0	group	4	0
0	group	4	0
0	group	4	0
0	group	4	0
0	group	4	0
0	group	4	0
0	group	4	0
0	group	4	0
0	group	4	0
0	group	4	0
0	d3d	ResourceBarrier	0
0	group	1	0
0	d3d	ResourceBarrier	0
0	group	4	0
0	group	4	0
0	group	4	0
0	group	4	0
0	group	4	0
0	group	4	0
0	group	4	0
0	group	4	0
0	group	1	0
0	d3d	ResourceBarrier	0
0	group	4	0
0	group	4	0
0	d3d	ResourceBarrier	0
0	group	4	0
0	group	2	0
0	d3d	ResourceBarrier	0
0	group	4	0
0	d3d	ResourceBarrier	0
0	group	4	0
0	d3d	ResourceBarrier	0
0	group	1	0
0	d3d	ResourceBarrier	0
0	group	1	0
0	d3d	ResourceBarrier	0
0	frame_launches	156	46
