chain	kernel_count	start_tick	end_tick	frequency_hz	gpu_us	first	last
0	1	1788731939974551136	1788731940028054528	1000000000	53503.4	model	model
1	1	1788731940236399616	1788731940291461120	1000000000	55061.5	model	model
2	1	1788731940486091776	1788731940532899840	1000000000	46808.1	model	model
3	1	1788731940738354176	1788731940792757248	1000000000	54403.1	model	model
4	1	1788731940997381120	1788731941052779520	1000000000	55398.4	model	model
5	1	1788731941258032128	1788731941304059904	1000000000	46027.8	model	model
6	1	1788731941510770688	1788731941557166080	1000000000	46395.4	model	model
7	1	1788731941764619264	1788731941820264448	1000000000	55645.2	model	model
8	1	1788731942020120576	1788731942066286592	1000000000	46166	model	model
9	1	1788731942268740608	1788731942327358464	1000000000	58617.9	model	model
