Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,FrameType,CPUStartTime,FrameTime,CPUBusy,CPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,InstrumentedLatency
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,74.1691,46.9865,46.6578,0.3287,89.1051,48.0066,0.0437,47.2277,NA,55.9384
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,121.1556,48.1730,47.9027,0.2703,90.1252,47.5227,-0.3164,94.9179,NA,56.2548
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,169.3286,47.8878,47.5543,0.3335,89.4749,48.5651,0.3780,142.8186,NA,55.8768
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,217.2164,48.3755,48.0772,0.2983,90.1522,48.7503,-0.6975,190.6862,NA,56.5743
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,265.5919,47.0080,46.7066,0.3014,90.5270,47.8194,-1.2059,238.2306,NA,57.7802
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,312.5999,46.9214,46.6486,0.2728,91.3384,45.7281,-0.5150,285.5350,NA,58.2952
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,359.5213,46.9775,46.6803,0.2972,90.1451,46.8907,1.2999,332.5630,NA,56.9953
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,406.4988,47.2287,46.9594,0.2693,90.0583,46.0797,-0.1107,379.3430,NA,57.1060
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,453.7275,45.9926,45.6975,0.2951,88.9093,46.2919,0.6216,426.0443,NA,56.4844
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,499.7201,47.4097,47.1253,0.2844,89.2086,49.8114,0.7662,473.1024,NA,55.7182
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,547.1298,48.5971,48.2955,0.3016,91.6103,46.4283,-2.0235,520.8903,NA,57.7417
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,595.7269,46.8305,46.5497,0.2808,89.4415,47.9092,1.0025,568.3211,NA,56.7392
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,642.5574,47.1404,46.8428,0.2976,90.5202,47.4022,-0.4018,615.8285,NA,57.1410
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,689.6978,47.1498,46.8837,0.2661,90.7820,45.3156,-0.2199,663.0108,NA,57.3609
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,736.8476,47.1346,46.8228,0.3118,88.9478,47.1254,1.6323,709.9587,NA,55.7286
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,783.9822,46.8798,46.5717,0.3081,88.9386,46.8299,-0.2332,756.8509,NA,55.9618
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,830.8620,46.8621,46.5626,0.2995,88.8887,49.9602,-0.0746,803.6062,NA,56.0364
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,877.7241,47.8347,47.5450,0.2897,91.9868,46.9873,-2.7481,850.8183,NA,58.7845
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,925.5588,46.4154,46.1394,0.2760,91.1394,44.6671,0.2968,898.1024,NA,58.4877
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,971.9742,47.5033,47.1650,0.3383,89.3911,47.6697,2.3371,945.1066,NA,56.1506
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,1019.4775,46.5845,46.2852,0.2993,89.5575,46.8971,-0.8762,991.9001,NA,57.0268
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,1066.0620,46.5158,46.1876,0.3282,89.8701,46.5932,-0.2025,1038.5947,NA,57.2293
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,1112.5778,47.3517,47.0585,0.2932,89.9475,47.0480,0.9123,1086.1002,NA,56.3170
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,1159.9295,47.2427,46.9062,0.3365,89.6438,46.9244,0.1334,1133.2816,NA,56.1836
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,1207.1722,47.0568,46.7621,0.2947,89.3255,47.6608,0.1318,1180.3378,NA,56.0518
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,1254.2290,47.7433,47.4484,0.2949,89.9295,48.8773,-0.2768,1227.7218,NA,56.3286
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,1301.9723,47.8553,47.3192,0.5361,91.0635,46.9418,-1.1266,1275.4725,NA,57.4552
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,1349.8276,47.0069,46.7523,0.2546,90.1500,47.8875,0.3690,1322.7833,NA,57.0862
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,1396.8345,47.2808,47.0160,0.2648,91.0306,47.4716,-0.5419,1370.1289,NA,57.6281
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,1444.1153,47.1964,46.9336,0.2628,91.2214,45.7462,-0.2551,1417.3454,NA,57.8832
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,1491.3117,47.1559,46.8982,0.2577,89.7712,47.1067,1.2978,1464.3894,NA,56.5854
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,1538.4676,48.1172,47.8725,0.2447,89.7220,47.0582,0.2688,1511.7649,NA,56.3166
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,1586.5848,47.1690,46.8909,0.2781,88.6630,48.2104,0.5537,1559.3768,NA,55.7629
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,1633.7538,47.9657,47.6873,0.2784,89.7044,49.6423,-0.2240,1607.3632,NA,55.9869
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,1681.7195,47.7568,47.4652,0.2916,91.3810,46.5276,-1.4069,1655.5986,NA,57.3938
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,1729.4763,48.2748,47.9849,0.2899,90.1518,48.4691,1.5269,1703.6531,NA,55.8669
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,1777.7511,47.6891,47.4118,0.2773,90.3461,47.3637,-1.0055,1751.1167,NA,56.8724
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,1825.4402,47.1076,46.8371,0.2705,90.0207,46.0493,-0.4984,1797.9820,NA,57.3708
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,1872.5478,47.1740,46.8877,0.2863,88.9624,47.0222,0.8352,1844.8665,NA,56.5356
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,1919.7218,46.5032,46.2062,0.2970,88.8106,48.7054,-0.0601,1891.8286,NA,56.5957
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,1966.2250,47.8696,47.5654,0.3042,91.0128,48.6554,-1.8963,1938.6377,NA,58.4920
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,2014.0946,45.8313,45.5672,0.2641,91.7986,45.5521,-1.7861,1985.5070,NA,60.2781
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,2059.9259,46.5132,46.2266,0.2866,91.5194,45.8388,1.1358,2032.1949,NA,59.1423
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,2106.4391,46.6323,46.3361,0.2962,90.8450,45.4430,0.6742,2078.7079,NA,58.4681
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,2153.0714,46.1821,45.8730,0.3091,89.6557,46.5238,1.0961,2125.2470,NA,57.3720
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,2199.2535,47.1455,46.8785,0.2670,89.9974,47.9787,0.4110,2172.1818,NA,56.9610
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,2246.3990,47.7653,47.4736,0.2917,90.8306,47.0070,-0.3069,2219.8536,NA,57.2679
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,2294.1643,47.3895,47.1073,0.2822,90.0723,47.1023,0.6996,2267.5602,NA,56.5683
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,2341.5538,47.8581,47.5797,0.2784,89.7851,48.0427,0.4749,2315.1374,NA,56.0934
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,2389.4119,47.6379,47.3251,0.3128,89.9697,46.8569,-0.7178,2362.4623,NA,56.8112
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,2437.0498,46.3677,46.0749,0.2928,89.1887,47.7192,0.5243,2409.8435,NA,56.2869
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,2483.4175,47.4801,47.1986,0.2815,90.5402,48.7953,-0.3986,2457.1641,NA,56.6855
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,2530.8976,48.4011,48.0805,0.3206,91.8554,47.2461,-1.5554,2504.4040,NA,58.2409
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,2579.2987,46.0394,45.7446,0.2948,90.7004,46.5254,-0.3178,2551.3323,NA,58.5587
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,2625.3381,47.8963,47.6087,0.2876,91.1864,46.3622,0.5064,2598.3641,NA,58.0523
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,2673.2344,46.5029,46.2225,0.2804,89.6523,46.0928,0.7950,2645.5213,NA,57.2573
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,2719.7373,47.3950,47.1106,0.2844,89.2422,47.8260,1.1475,2692.7616,NA,56.1098
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,2767.1323,47.0572,46.7931,0.2641,89.6732,49.0547,-0.2917,2740.2959,NA,56.4015
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,2814.1895,48.8798,48.5627,0.3171,91.6707,48.1433,-1.0174,2788.3332,NA,57.4189
Stalker2-Win64-Shipping.exe,8048,0x17D20F500,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,2863.0693,47.8008,47.5459,0.2549,90.9342,46.1646,-0.0757,2836.4008,NA,57.4946
