Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,FrameType,CPUStartTime,FrameTime,CPUBusy,CPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,InstrumentedLatency
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,85.5426,0.3420,0.1915,0.1505,70.0861,24.8451,NA,0.0000,24.6278,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,85.8846,50.7262,50.3836,0.3426,94.5892,24.2770,0.4967,50.1867,0.8024,59.3873
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,136.6108,0.4558,0.2347,0.2211,68.1400,25.3317,NA,0.0000,24.0261,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,137.0666,49.2164,48.8518,0.3646,93.0159,24.7927,0.8915,100.6869,0.4520,58.4958
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,186.2830,0.4395,0.2686,0.1709,68.5922,26.6553,NA,0.0000,24.5795,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,186.7225,51.3230,50.9332,0.3898,94.8080,25.3589,-0.4807,151.6542,0.1080,58.9765
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,238.0455,0.4896,0.2433,0.2463,68.8439,24.5346,NA,0.0000,25.1234,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,238.5351,49.3322,48.9424,0.3898,92.8889,25.3297,0.7816,202.3293,0.0008,58.1949
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,287.8673,0.4007,0.2368,0.1639,68.8864,24.4502,NA,0.0000,25.0679,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,288.2680,49.6628,49.2440,0.4188,92.9359,24.6778,0.4831,252.5923,0.4442,57.7118
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,337.9308,0.4203,0.2527,0.1676,67.9509,28.3775,NA,0.0000,24.4468,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,338.3511,50.7513,50.4776,0.2737,95.9081,24.3633,-3.0000,302.6476,0.6676,60.7118
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,389.1024,0.7953,0.5059,0.2894,69.5201,25.1323,NA,0.0000,24.0708,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,389.8977,47.9307,47.6674,0.2633,93.8571,24.9283,0.3775,352.5207,0.0007,60.3343
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,437.8284,0.3532,0.1988,0.1544,70.8547,23.7488,NA,0.0000,24.6557,NA
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,438.1816,49.3890,49.1234,0.2656,94.2503,24.8647,1.0740,402.2718,0.0016,59.2603
Stalker2-Win64-Shipping.exe,8048,0x37CE4E130,DXGI,0,0,1,Hardware: Independent Flip,Application,487.5706,0.3384,0.1908,0.1476,69.7260,25.0074,NA,0.0000,24.4955,NA
